,created_at,quote_count,reply_count,retweet_count,favorite_count,username,tweet_url,Kandidat,tweets
10,Wed Dec 13 19:38:37 +0000 2023,0.0,0,0.0,2.0,iqbalcandrabu,https://twitter.com/iqbalcandrabu/status/1735021425982066758,Anies-Muhaimin,National Conference Understandably the National Conference member next door started a fire and realized he would lose hahaha AMIN ALLINAMIN ANIS muhaimin
11,Wed Dec 13 16:31:57 +0000 2023,0.0,0,0.0,1.0,_manajanjimu,https://twitter.com/_manajanjimu/status/1734974449282318781,Anies-Muhaimin,"God willing, sir, together with Mr Anis Muhaimin, the prosperity and welfare of the Indonesian people will create a greater sense of justice"
12,Wed Dec 13 14:07:38 +0000 2023,0.0,0,0.0,1.0,Pemanah60139933,https://twitter.com/Pemanah60139933/status/1734938132322435473,Anies-Muhaimin,"There is no debate, my family and I will continue to support ANIS MUHAIMIN"
13,Wed Dec 13 14:01:19 +0000 2023,0.0,0,0.0,0.0,Rusky69315101,https://twitter.com/Rusky69315101/status/1734936542035284185,Anies-Muhaimin,"hmm, the presidential and deputy candidates have cases at the KPK, check on Google, type Anis & Muhaimin case at the KPK, there really aren't any clean candidates"
14,Wed Dec 13 13:45:51 +0000 2023,0.0,0,0.0,0.0,Rusky69315101,https://twitter.com/Rusky69315101/status/1734932647326240900,Anies-Muhaimin,Anis Muhaimin has a case at KPK. Check the case on Google. Type in Anis and Muhaimin's case at KPK. You really want to have a leader with a bad track record
15,Wed Dec 13 13:37:30 +0000 2023,0.0,0,0.0,0.0,Rusky69315101,https://twitter.com/Rusky69315101/status/1734930546655105193,Anies-Muhaimin,"Anis and Muhaimin are involved in a case at the KPK and this is the only candidate in the world who is a presidential and vice presidential candidate who has a case at the KPK, check & type in Google Anis & Muhaimin's case at the KPK, it's not a shame that the presidential candidate has a case at the KPK"
16,Wed Dec 13 12:04:45 +0000 2023,0.0,0,0.0,0.0,cowokkeren72,https://twitter.com/cowokkeren72/status/1734907207089791186,Anies-Muhaimin,God willing Anis Muhaimin WINS 1 Round of Aamii
17,Wed Dec 13 12:04:04 +0000 2023,0.0,0,0.0,0.0,ErzafHa,https://twitter.com/ErzafHa/status/1734907032548044814,Anies-Muhaimin,Thank God Anis Muhaimin is ahead while I hope he can win the presidential election AMIN
18,Wed Dec 13 11:50:11 +0000 2023,0.0,0,0.0,2.0,cowokkeren72,https://twitter.com/cowokkeren72/status/1734903539288465653,Anies-Muhaimin,God willing Anis Muhaimin WIN 1 ROUND Only Amen
19,Wed Dec 13 11:33:26 +0000 2023,0.0,0,1.0,2.0,Paman_J,https://twitter.com/Paman_J/status/1734899326206537983,Anies-Muhaimin,GUS KAUTSAR FROM PONPES PLOSO JOMBANG MOJO GIVES HIS STATUS TO SUPPORT NO 1 AMIN ANIS MUHAIMIN
20,Wed Dec 13 09:02:59 +0000 2023,0.0,0,0.0,0.0,WWirdayati30483,https://twitter.com/WWirdayati30483/status/1734861460910866870,Anies-Muhaimin,MudaNU Keep GAMA Group Anis Muhaimin AMEN
21,Wed Dec 13 07:27:28 +0000 2023,0.0,0,0.0,0.0,RiniFit72754896,https://twitter.com/RiniFit72754896/status/1734837423123890447,Anies-Muhaimin,"We, the Indonesian people, should not think too much about just AMININ. Indonesia will definitely be prosperous with Anis Muhaimin"
22,Wed Dec 13 07:05:15 +0000 2023,0.0,0,0.0,0.0,wong_baek,https://twitter.com/wong_baek/status/1734831832741589041,Anies-Muhaimin,"Prabowo supporters made a poll, the result was Anis Muhaimin 83. Not ashamed to admit that Prabowo's survey results were the highest."
23,Wed Dec 13 05:50:36 +0000 2023,0.0,0,0.0,0.0,s1g3tari,https://twitter.com/s1g3tari/status/1734813047896801718,Anies-Muhaimin,"Wow, really disappointed, I have been supporting and campaigning for you since 2014. Now I totally support Anis Muhaimin"
24,Wed Dec 13 05:50:18 +0000 2023,0.0,0,0.0,0.0,rafli_stor26181,https://twitter.com/rafli_stor26181/status/1734812972533649570,Anies-Muhaimin,Anis Muhaimin for sure
25,Wed Dec 13 04:36:53 +0000 2023,0.0,0,0.0,0.0,CHR6694,https://twitter.com/CHR6694/status/1734794496171471270,Anies-Muhaimin,"You can also act as if you are being ordered to and are being moved by political opponents. Anis Muhaimin, smart people don't do politics in a dirty way. Prabowo might be like that."
26,Wed Dec 13 04:22:10 +0000 2023,0.0,0,1.0,1.0,mtsb_id,https://twitter.com/mtsb_id/status/1734790792814706757,Anies-Muhaimin,1 Anis Muhaimin 2 Prabowo Gibran 3 Ganjar Mahfud 4 Manchester United
27,Wed Dec 13 02:29:05 +0000 2023,0.0,0,0.0,0.0,Asyad417667262,https://twitter.com/Asyad417667262/status/1734762333493403815,Anies-Muhaimin,"Calculated from the zodiac, calculated from the primbon that won, Mr. Anis Muhaimin"
28,Wed Dec 13 02:28:00 +0000 2023,0.0,0,0.0,0.0,RBaruss84861,https://twitter.com/RBaruss84861/status/1734762060758778315,Anies-Muhaimin,TV No. 1 Anis Muhaimin becomes president
29,Wed Dec 13 01:15:30 +0000 2023,0.0,0,0.0,0.0,raffiiiahmd,https://twitter.com/raffiiiahmd/status/1734743817222598706,Anies-Muhaimin,"I'm enthusiastic about supporting GIBRAN, the Indonesian Movement with Anis Muhaimin"
30,Wed Dec 13 01:01:33 +0000 2023,0.0,0,0.0,0.0,denit6421,https://twitter.com/denit6421/status/1734740306040705173,Anies-Muhaimin,"If you don't like Prabowo Gibran, don't vote, my choice is Anis Muhaimin"
31,Wed Dec 13 00:54:35 +0000 2023,0.0,0,0.0,0.0,AbdiSofiyan,https://twitter.com/AbdiSofiyan/status/1734738553895313864,Anies-Muhaimin,Anis Muhaimin excelled in the first presidential candidate debate held by KPU AMIN Excellent AMINT Best Presidential Candidate Debate Number 1
32,Tue Dec 12 23:17:07 +0000 2023,0.0,0,0.0,0.0,kye1047273,https://twitter.com/kye1047273/status/1734714023722226062,Anies-Muhaimin,Indonesia is respected on the international stage with Anis Muhaimin 2024
33,Tue Dec 12 23:06:07 +0000 2023,0.0,0,1.0,1.0,SiratAdima1,https://twitter.com/SiratAdima1/status/1734711257922416710,Anies-Muhaimin,"The Anies Muhaimin PKB prioritizes law that regulates power, not power that regulates law"
34,Tue Dec 12 22:17:22 +0000 2023,1.0,0,0.0,0.0,DjuangBernadus,https://twitter.com/DjuangBernadus/status/1734698989126348918,Anies-Muhaimin,Anis Muhaimin My President 2024
35,Tue Dec 12 22:06:22 +0000 2023,0.0,0,0.0,7.0,ErfanLimba,https://twitter.com/ErfanLimba/status/1734696221237981513,Anies-Muhaimin,"Dude, just admit that Anis Muhaimin has the upper hand"
36,Tue Dec 12 21:54:22 +0000 2023,0.0,0,0.0,1.0,PKaurwaki93,https://twitter.com/PKaurwaki93/status/1734693201439830289,Anies-Muhaimin,"First Debate for 2024 Presidential Candidates See the concept of ideas for developing Indonesia Anis Muhaimin God willing, leader of 2024 AMIN AMINbestno1 AMINUnggulPresidential Candidate Debate"
37,Tue Dec 12 20:27:10 +0000 2023,0.0,0,0.0,0.0,budak_desa_2023,https://twitter.com/budak_desa_2023/status/1734671255956328880,Anies-Muhaimin,Anis Muhaimin is the right person for this nation AMINterbaikno1 AMINUnggulDebatCapres
38,Tue Dec 12 19:08:13 +0000 2023,0.0,1,0.0,3.0,FatraIncs,https://twitter.com/FatraIncs/status/1734651386070266341,Anies-Muhaimin,"social media party campaign netizens don't need to attack Anis muhaimin, it's hard to find a loophole, just attack the anon accounts that we can create ourselves, label them as Anis supporters, then let's work together in the campaign to dehumanize Anis supporters. Your way of playing is dirty, tum"
39,Tue Dec 12 19:03:17 +0000 2023,0.0,2,0.0,66.0,FatraIncs,https://twitter.com/FatraIncs/status/1734650144703013059,Anies-Muhaimin,"The social media party campaign doesn't need to attack Anis Muhaimin, it's hard to find the loopholes, just attack the anon accounts that we might create ourselves, label them as Anis supporters, and then let's work together in the campaign to dehumanize Anis supporters."
40,Tue Dec 12 19:02:40 +0000 2023,0.0,0,0.0,0.0,FatraIncs,https://twitter.com/FatraIncs/status/1734649988972708129,Anies-Muhaimin,"Social media party campaigns don't need to attack Anis Muhaimin, it's hard to find the loopholes, just attack the anon accounts that we can create ourselves, label them as Anis supporters, then let's work together in the campaign to dehumanize Anis supporters. Your way of playing is dirty, tum"
41,Tue Dec 12 17:17:29 +0000 2023,0.0,0,0.0,0.0,SuryanaAja13,https://twitter.com/SuryanaAja13/status/1734623520380838006,Anies-Muhaimin,The Anis Muhaimin pair will definitely win one round. We always support Mr. Anis
42,Tue Dec 12 17:03:55 +0000 2023,0.0,0,0.0,0.0,ButuniIchalo,https://twitter.com/ButuniIchalo/status/1734620106267688965,Anies-Muhaimin,Anies Muhaimin wins the Best AMIN Presidential Candidate DebateNumber 1 AMIN Wins the Presidential Candidate Debate
43,Tue Dec 12 16:54:25 +0000 2023,0.0,0,0.0,1.0,MUHAMMA79401264,https://twitter.com/MUHAMMA79401264/status/1734617714474271108,Anies-Muhaimin,BEST CHOICE OF CAWAPRESAL CAPRES AMIN ANIS MUHAIMIN
44,Tue Dec 12 16:23:30 +0000 2023,1.0,5,10.0,131.0,ZafiraMumtazah,https://twitter.com/ZafiraMumtazah/status/1734609933252092020,Anies-Muhaimin,Ya Allah make Anis Muhaimin the President and Vice President of Indonesia Amen ya rabbal alamin
45,Tue Dec 12 15:57:22 +0000 2023,0.0,0,0.0,1.0,EffendyMuda27,https://twitter.com/EffendyMuda27/status/1734603359343280129,Anies-Muhaimin,AminSuperiordebatePresidential Candidate AMINbestno1 Hopefully everything will be made easier at the heart's door to the TPS to elect Anis Muhaimin
46,Tue Dec 12 15:19:39 +0000 2023,0.0,0,0.0,0.0,FahmiGauzi75105,https://twitter.com/FahmiGauzi75105/status/1734593866291187823,Anies-Muhaimin,Spirit of Change Anis & Muhaimin
47,Tue Dec 12 15:18:47 +0000 2023,0.0,0,0.0,0.0,yogabima11219,https://twitter.com/yogabima11219/status/1734593646329250218,Anies-Muhaimin,AMINBestNumber1 AMINSuperiorPresidential Candidate Debate Towards a Changing Indonesia with Anis Muhaimin AMIN 2024
48,Tue Dec 12 15:15:20 +0000 2023,0.0,0,0.0,0.0,AlfathG92784,https://twitter.com/AlfathG92784/status/1734592780708761939,Anies-Muhaimin,AMINBestNumber1 AMINSuperiorPresidential Candidate Debate Towards a Changing Indonesia with Anis Muhaimin AMIN 2024 WINS GREATLY
49,Tue Dec 12 15:12:54 +0000 2023,0.0,0,0.0,0.0,AlfathG92784,https://twitter.com/AlfathG92784/status/1734592168655032547,Anies-Muhaimin,AMINBestNumber1 AMINSuperiorPresidential Candidate Debate Towards a Changing Indonesia with Anis Muhaimin AMIN 2024 WIN FOR PRESIDENT OF THE RI
50,Tue Dec 12 15:10:01 +0000 2023,0.0,0,0.0,0.0,AlfathG92784,https://twitter.com/AlfathG92784/status/1734591440095986084,Anies-Muhaimin,AMINBestNumber1 AMINSuperiorPresidential Candidate Debate Towards a Changing Indonesia with Anis Muhaimin AMIN 2024 WINNING STANDINGLY AMIN
51,Tue Dec 12 15:08:05 +0000 2023,0.0,0,0.0,0.0,AlfathG92784,https://twitter.com/AlfathG92784/status/1734590953703518367,Anies-Muhaimin,AMINBestNumber 1 AMINSuperiorPresidential Candidate Debate Towards a Changing Indonesia with Anis Muhaimin AMIN 2024 WIN
52,Tue Dec 12 15:07:27 +0000 2023,0.0,1,2.0,4.0,AkliMaula,https://twitter.com/AkliMaula/status/1734590797327237537,Anies-Muhaimin,Ganjar Mahfud Prabowo Gibran Anis Muhaimin OTONG KOIL FOR PRESIDENT staysingL
53,Tue Dec 12 14:57:20 +0000 2023,0.0,0,1.0,1.0,Greengerabah23,https://twitter.com/Greengerabah23/status/1734588249786695728,Anies-Muhaimin,The Anis Muhaimin couple is ready to hold the presidential and vice presidential debate AMINbestno1 AminUngguldebatePresidential Candidate
54,Tue Dec 12 14:54:25 +0000 2023,0.0,0,0.0,0.0,ZafiraMumtazah,https://twitter.com/ZafiraMumtazah/status/1734587516433617249,Anies-Muhaimin,"O Allah, may Anis Muhaimin become President and Vice President of Indonesia Amin"
55,Tue Dec 12 14:26:46 +0000 2023,0.0,0,0.0,1.0,AepSakha,https://twitter.com/AepSakha/status/1734580558636970104,Anies-Muhaimin,Anis Muhaimin means that social assistance will be evenly distributed and increased without being threatened
56,Tue Dec 12 14:23:22 +0000 2023,0.0,0,0.0,9.0,DEXTER888j,https://twitter.com/DEXTER888j/status/1734579701509959693,Anies-Muhaimin,"It is becoming increasingly clear who is the leader who can truly bring Indonesia Independence with the true meaning of prosperity, justice and dignity only through the leadership of ANIS & MUHAIMIN"
57,Tue Dec 12 14:14:19 +0000 2023,1.0,0,0.0,1.0,ulilalb91743919,https://twitter.com/ulilalb91743919/status/1734577422874349721,Anies-Muhaimin,ANIS MUHAIMIN MY PRESIDENT
58,Tue Dec 12 14:10:29 +0000 2023,0.0,0,0.0,0.0,ghifarrara,https://twitter.com/ghifarrara/status/1734576460659315071,Anies-Muhaimin,"Leaders who bring change, Anis Muhaimin Best AMIN Number 1 AMIN Excellent in Presidential Debate"
59,Tue Dec 12 13:59:27 +0000 2023,0.0,0,0.0,0.0,DEXTER888j,https://twitter.com/DEXTER888j/status/1734573684273058048,Anies-Muhaimin,"There is no doubt that we have found a future leader who can bring justice, prosperity, prosperity and raise Indonesia's pride in the eyes of the world through ANIS & MUHAIMIN"
60,Tue Dec 12 13:58:30 +0000 2023,0.0,0,0.0,0.0,RBaruss84861,https://twitter.com/RBaruss84861/status/1734573443528753481,Anies-Muhaimin,I chose no1 anis muhaimin
61,Tue Dec 12 13:58:27 +0000 2023,0.0,0,1.0,1.0,NYuliyati71123,https://twitter.com/NYuliyati71123/status/1734573432397066555,Anies-Muhaimin,"An idea is the initial planning and first step in designing a state building, so a good idea is very important for the establishment of a good state. Vote number 1 Anis Muhaimin to implement a good idea AMINku01 AMINajadulu"
62,Tue Dec 12 13:52:10 +0000 2023,0.0,0,0.0,2.0,Majid58971701,https://twitter.com/Majid58971701/status/1734571848917189076,Anies-Muhaimin,AMINBestNumber1 AMINSuperiorPresidential Candidate Debate Towards a Changing Indonesia with Anis Muhaimin AMIN 2024
63,Tue Dec 12 13:49:37 +0000 2023,0.0,0,0.0,0.0,telegu349346,https://twitter.com/telegu349346/status/1734571207595618312,Anies-Muhaimin,AMINBestNumber1 AMINSuperiorPresidential Candidate Debate Towards a Changing Indonesia with Anis Muhaimin AMIN 2024
64,Tue Dec 12 13:32:19 +0000 2023,0.0,0,0.0,0.0,vplvo,https://twitter.com/vplvo/status/1734566854218404018,Anies-Muhaimin,Bismillah AMIN Anies Muhaimin a reliable partner AMINku 01 AMINAjadulu
65,Tue Dec 12 13:27:33 +0000 2023,0.0,0,1.0,1.0,eviwahyun,https://twitter.com/eviwahyun/status/1734565653301129536,Anies-Muhaimin,Anis Muhaimin president and vice president of the Republic of Indonesia 2024 2029 AMINAjaDulu
66,Tue Dec 12 13:26:55 +0000 2023,0.0,0,0.0,0.0,katini_tias07,https://twitter.com/katini_tias07/status/1734565496245362870,Anies-Muhaimin,Bismillah AMIN Anies Muhaimin a reliable partner AMINku 01 AMINAjadulu
67,Tue Dec 12 13:25:49 +0000 2023,0.0,0,3.0,4.0,A_FauziFawaz,https://twitter.com/A_FauziFawaz/status/1734565218670526743,Anies-Muhaimin,The vision and mission in the legal field of Anis Muhaimin AMINTBestNumber 1 is clear
68,Tue Dec 12 13:22:44 +0000 2023,0.0,0,0.0,0.0,WSekarwati76617,https://twitter.com/WSekarwati76617/status/1734564443961631230,Anies-Muhaimin,AMINBestNumber1 AMINSuperiorPresidential Candidate Debate Towards a Changing Indonesia with Anis Muhaimin AMIN 2024
69,Tue Dec 12 13:15:57 +0000 2023,0.0,0,0.0,0.0,TiungK,https://twitter.com/TiungK/status/1734562735524884583,Anies-Muhaimin,AMINBestNumber1 AMINSuperiorPresidential Candidate Debate Towards a Changing Indonesia with Anis Muhaimin AMIN 2024
70,Tue Dec 12 13:14:12 +0000 2023,0.0,0,0.0,0.0,TiungK,https://twitter.com/TiungK/status/1734562296586805257,Anies-Muhaimin,AMINBestNumber1 AMINSuperiorPresidential Candidate Debate Towards a Changing Indonesia with Anis Muhaimin AMIN 2024
71,Tue Dec 12 13:14:04 +0000 2023,0.0,0,0.0,0.0,BaladAminGrw,https://twitter.com/BaladAminGrw/status/1734562259823735211,Anies-Muhaimin,Bismillah Anis Muhaimin Amen
72,Tue Dec 12 13:06:36 +0000 2023,0.0,1,1.0,7.0,Iwangus1,https://twitter.com/Iwangus1/status/1734560384366047365,Anies-Muhaimin,"AMINBestNumber 1 AMINSuperiorPresidential Debate Towards a Fair, Prosperous and Prosperous Change Indonesia with Anis Muhaimin AMIN 2024"
73,Tue Dec 12 13:05:29 +0000 2023,0.0,0,0.0,1.0,SahroniYes42775,https://twitter.com/SahroniYes42775/status/1734560100189450710,Anies-Muhaimin,Anis Muhaimin is a figure who brings big changes for the better AMINBestNumber 1 AMINSuperiorPresidential Debate
74,Tue Dec 12 13:03:42 +0000 2023,0.0,5,3.0,14.0,Alfairi_Feri,https://twitter.com/Alfairi_Feri/status/1734559653730849189,Anies-Muhaimin,AMINBestNumber1 AMINSuperiorPresidential Candidate Debate Towards a Changing Indonesia with Anis Muhaimin AMIN 2024
75,Tue Dec 12 13:03:18 +0000 2023,0.0,0,0.0,0.0,wawansaza,https://twitter.com/wawansaza/status/1734559552287461409,Anies-Muhaimin,"From the debate, it has been discovered which quality presidential and vice presidential candidates choose Anis Muhaimin AMINku01 AMINajadulu"
76,Tue Dec 12 12:15:56 +0000 2023,0.0,0,1.0,1.0,romitonjong,https://twitter.com/romitonjong/status/1734547630242627993,Anies-Muhaimin,We the small people are not ABLE to print billboards. We the small people can only do something like this. We the small people want leaders who care and side with the small people. We the small people want CHANGE 01 AMIN PrabowoGibran GanjarMahfud AnisMuhaimin
77,Tue Dec 12 12:13:29 +0000 2023,0.0,0,0.0,0.0,Darul6531063815,https://twitter.com/Darul6531063815/status/1734547016578175068,Anies-Muhaimin,"Among the presidential and vice presidential candidates, there are no two candidates for quality, Anis Muhaimin, the choice of the small people, AMINAjaDulu"
78,Tue Dec 12 12:10:37 +0000 2023,0.0,0,0.0,0.0,Darul6531063815,https://twitter.com/Darul6531063815/status/1734546295241740507,Anies-Muhaimin,Amen first choose Anis Muhaimin yes amen Win one Round amen Amen
79,Tue Dec 12 12:07:03 +0000 2023,0.0,0,0.0,0.0,may_ctu,https://twitter.com/may_ctu/status/1734545396679241891,Anies-Muhaimin,Indonesia is just and prosperous with Anis Muhaimin AMINku01 AMINajadulu
80,Tue Dec 12 11:30:24 +0000 2023,0.0,0,0.0,1.0,NismaElisa1,https://twitter.com/NismaElisa1/status/1734536172527919430,Anies-Muhaimin,Anis Muhaimin won
81,Tue Dec 12 11:28:59 +0000 2023,0.0,0,0.0,1.0,MarwanDoel3,https://twitter.com/MarwanDoel3/status/1734535816871866588,Anies-Muhaimin,Anis Muhaimin won
82,Tue Dec 12 10:12:02 +0000 2023,0.0,0,2.0,6.0,ozi090541157291,https://twitter.com/ozi090541157291/status/1734516453288849872,Anies-Muhaimin,"Anis Muhaimin is at number 1, don't let anyone else just Amen first"
83,Tue Dec 12 07:12:17 +0000 2023,0.0,0,0.0,0.0,ZafiraMumtazah,https://twitter.com/ZafiraMumtazah/status/1734471215140720715,Anies-Muhaimin,Ya Allah please make Anis Muhaimin President and Vice President Amin Allahumma amen
84,Tue Dec 12 04:39:40 +0000 2023,0.0,0,0.0,0.0,kaligrafiukiran,https://twitter.com/kaligrafiukiran/status/1734432807374762213,Anies-Muhaimin,verses chairs verses chairs Yati Bencong Zara Wiranto Anies Muhaimin Prabowo Gibran Ganjar Mahfud
85,Tue Dec 12 02:31:58 +0000 2023,0.0,0,0.0,0.0,NasronCom,https://twitter.com/NasronCom/status/1734400672811171964,Anies-Muhaimin,We chose Anis Muhaimin for change towards the better
86,Tue Dec 12 01:03:14 +0000 2023,0.0,0,0.0,1.0,muhammadsaidh22,https://twitter.com/muhammadsaidh22/status/1734378339992051960,Anies-Muhaimin,"I'm a neighbor of the one in the photo from his son who supports Prabowo Gibran, not Anis Muhaimin."
87,Mon Dec 11 20:41:58 +0000 2023,0.0,0,0.0,0.0,khairul_bary,https://twitter.com/khairul_bary/status/1734312592531968096,Anies-Muhaimin,It's hard for me to support him especially his track record endangers my trust Sorry enough 2019 I chose him now there is someone better than him Anis Muhaimin Amin
88,Mon Dec 11 19:53:35 +0000 2023,0.0,0,0.0,1.0,nuriel017,https://twitter.com/nuriel017/status/1734300416584884585,Anies-Muhaimin,Consolidation of the 2024 PILEG PRESIDENTIAL PILEG WINNINGS Pair AMIN Anis Muhaimin
89,Mon Dec 11 15:56:41 +0000 2023,0.0,0,1.0,3.0,SilverQhueeen,https://twitter.com/SilverQhueeen/status/1734240797732827183,Anies-Muhaimin,"No, in fact, I used to support Prabowo, but since I partnered with Gibran, I'm sorry, I prefer Anis Muhaimin."
90,Mon Dec 11 15:14:36 +0000 2023,0.0,0,0.0,0.0,NasronCom,https://twitter.com/NasronCom/status/1734230205273915487,Anies-Muhaimin,We choose Anis Muhaimin
91,Mon Dec 11 14:43:58 +0000 2023,0.0,0,0.0,0.0,NasronCom,https://twitter.com/NasronCom/status/1734222499951554628,Anies-Muhaimin,Please pray for support and choice for candidate pair number 1 Anis Muhaimin
92,Mon Dec 11 13:55:02 +0000 2023,0.0,0,0.0,0.0,mr_eKID,https://twitter.com/mr_eKID/status/1734210182648086823,Anies-Muhaimin,"I'm taking responsibility for the lie here, I'm making it so that it looks like a fool who believes in Prabowo Gibran 98 Ganjar Mahfud 89 Anis Muhaimin 10 just like that, Min, it's a lot of trouble here, pay, pay, I've made a surpei mayan surpei2an money"
93,Mon Dec 11 13:48:06 +0000 2023,5.0,9,8.0,27.0,VIVAcoid,https://twitter.com/VIVAcoid/status/1734208437326864546,Anies-Muhaimin,Denny JA Survey Prabowo Gibran Wins Hands down vs Ganjar Mahfud and Anis Muhaimin
94,Mon Dec 11 13:03:36 +0000 2023,0.0,0,0.0,0.0,0213Sumanto,https://twitter.com/0213Sumanto/status/1734197240724599039,Anies-Muhaimin,"Balad Amin Command Post in Kualuh Leidong District, North Labuhanbatu Regency Ready to Win Anis Muhaimin BaladAnisMuhaimin BaladAminOne Round"
95,Mon Dec 11 13:00:22 +0000 2023,0.0,0,0.0,0.0,0213Sumanto,https://twitter.com/0213Sumanto/status/1734196426065027187,Anies-Muhaimin,"Balad Amin Post, Kualuh Leidong District, North Labuhanbatu Regency Ready to Win Anis Muhaimin BaladAnisMuhaimin BaladAminOne Round"
96,Mon Dec 11 12:34:19 +0000 2023,0.0,0,0.0,1.0,tarmidiefendi15,https://twitter.com/tarmidiefendi15/status/1734189869780594754,Anies-Muhaimin,"Whatever happens, we choose AMIN, Anies Muhaimin"
97,Mon Dec 11 11:12:53 +0000 2023,0.0,0,0.0,0.0,AbdBangkumis,https://twitter.com/AbdBangkumis/status/1734169377111703739,Anies-Muhaimin,Well done Amen my president 2024
98,Mon Dec 11 09:48:55 +0000 2023,0.0,1,0.0,0.0,GNET888,https://twitter.com/GNET888/status/1734148247705563422,Anies-Muhaimin,November Anis Muhaimin December Prabowo Gibran January 2024 supports Ganjar Mahfud February
99,Mon Dec 11 09:39:50 +0000 2023,0.0,0,2.0,2.0,PkbNganjuk,https://twitter.com/PkbNganjuk/status/1734145961654473181,Anies-Muhaimin,ANIES PUSHES AMIN MARKET SOLUTIONS FOR TRADERS presidential election 2024politikindonesia pkbnganjuk dpwpkbjabar dpwpkbjatim anismuhaimin gusmuhaiminpresiden2024 gusmuhaimin gusdurian aniesbaswedanpolitik suryapaloh coalitionperubah
100,Mon Dec 11 09:16:33 +0000 2023,0.0,0,0.0,0.0,IshakSolih3,https://twitter.com/IshakSolih3/status/1734140101603848456,Anies-Muhaimin,save the nation's future by electing president Anis Muhaimin AMIN no 1
101,Mon Dec 11 07:56:07 +0000 2023,0.0,0,0.0,7.0,lutnisah,https://twitter.com/lutnisah/status/1734119860119154841,Anies-Muhaimin,chotimah2 rhamdani mpu Smg all will Amen anis muhaimin at waqtuy Smg no 01 absolute win in every province Amen Amen Amen
102,Mon Dec 11 05:45:47 +0000 2023,0.0,0,0.0,2.0,lutnisah,https://twitter.com/lutnisah/status/1734087058434687041,Anies-Muhaimin,rif BTul ms g pp2 d survey Amin pling bontot God willing and may God be destined Amin anis muhaimin absolute win in 1 round Aamiin
103,Mon Dec 11 04:37:47 +0000 2023,0.0,0,0.0,0.0,pemintal_sunyi,https://twitter.com/pemintal_sunyi/status/1734069948023181347,Anies-Muhaimin,The majority are supporters of Anis Muhaimin
104,Mon Dec 11 03:10:43 +0000 2023,0.0,0,0.0,0.0,patriotiku,https://twitter.com/patriotiku/status/1734048037805436964,Anies-Muhaimin,"The survey tries to influence voters in determining which option to choose. It is also known about Ganjar Mahfud Anis Muhaimin Prabowo. He has often heard about how it works. His experience, Gibran, Jokowi's son, only started to find out who he was after the Constitutional Court decision was made by his uncle."
